resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/3/1 17:32:52.00,PRE_APPROVER,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/3/2 8:15:48.00,SUPERVISOR,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
SYSTEM,Request Payment,2017/3/8 14:36:23.00,UNDEFINED,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
SYSTEM,Payment Handled,2017/3/13 16:31:05.00,UNDEFINED,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/11/7 9:27:20.00,EMPLOYEE,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/11/7 9:27:36.00,ADMINISTRATION,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/11/7 14:46:46.00,SUPERVISOR,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/11/8 9:11:21.00,DIRECTOR,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/11/12 10:30:23.00,EMPLOYEE,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/11/12 10:30:37.00,ADMINISTRATION,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/12 20:37:48.00,SUPERVISOR,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
SYSTEM,Request Payment,2018/11/13 8:09:49.00,UNDEFINED,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
SYSTEM,Payment Handled,2018/11/15 16:31:20.00,UNDEFINED,travel permit number 51428,UNKNOWN,organizational unit 65458,1822.049328,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 51429,organizational unit 65458,3215.995376,travel permit 51427,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/26 7:23:15.00,EMPLOYEE,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/26 7:24:15.00,ADMINISTRATION,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/3/26 12:37:10.00,SUPERVISOR,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/30 14:10:01.00,EMPLOYEE,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/30 14:10:45.00,ADMINISTRATION,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/4/3 8:19:38.00,SUPERVISOR,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
SYSTEM,Request Payment,2018/4/3 9:20:30.00,UNDEFINED,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
SYSTEM,Payment Handled,2018/4/5 15:30:53.00,UNDEFINED,travel permit number 53482,UNKNOWN,organizational unit 65454,275.7556187,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 53485,organizational unit 65460,1568.850347,travel permit 53481,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/10/2 13:24:47.00,EMPLOYEE,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/10/2 13:25:44.00,ADMINISTRATION,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/10/8 6:50:27.00,SUPERVISOR,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/15 22:52:46.00,EMPLOYEE,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/15 22:53:05.00,ADMINISTRATION,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/10/17 14:08:04.00,SUPERVISOR,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
SYSTEM,Request Payment,2018/10/18 4:28:15.00,UNDEFINED,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
SYSTEM,Payment Handled,2018/10/22 15:31:25.00,UNDEFINED,travel permit number 34362,task 34366,organizational unit 65458,520.2912117,task 427,budget 922,project 34363,project 503,request for payment 34364,organizational unit 65458,1053.818795,travel permit 34361,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/8/31 7:48:38.00,EMPLOYEE,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017/8/31 7:48:42.00,PRE_APPROVER,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017/9/6 13:22:41.00,SUPERVISOR,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/9/20 8:55:33.00,EMPLOYEE,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/10/9 9:35:40.00,PRE_APPROVER,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/10/16 3:15:02.00,SUPERVISOR,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
SYSTEM,Request Payment,2017/10/16 14:07:36.00,UNDEFINED,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
SYSTEM,Payment Handled,2017/10/19 15:31:02.00,UNDEFINED,travel permit number 83478,task 13231,organizational unit 65463,719.4778279,task 427,budget 440,project 13228,project 503,request for payment 83479,organizational unit 65455,1453.182619,travel permit 83477,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/11/15 9:36:51.00,EMPLOYEE,UNKNOWN,task 48208,organizational unit 65463,657.2150123,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 186576,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/11/15 9:38:08.00,ADMINISTRATION,UNKNOWN,task 48208,organizational unit 65463,657.2150123,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 186576,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/11/15 15:42:30.00,EMPLOYEE,UNKNOWN,task 48208,organizational unit 65463,657.2150123,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,request for payment 186576,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/15 8:00:20.00,EMPLOYEE,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/15 8:00:24.00,ADMINISTRATION,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/3/15 10:40:19.00,BUDGET OWNER,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/3/22 4:15:19.00,SUPERVISOR,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/3/22 12:44:32.00,DIRECTOR,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/6/14 7:24:56.00,EMPLOYEE,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/6/14 7:25:07.00,ADMINISTRATION,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/6/20 10:05:58.00,EMPLOYEE,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/6/20 12:09:16.00,EMPLOYEE,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/6/20 12:09:24.00,ADMINISTRATION,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/6/21 11:14:13.00,BUDGET OWNER,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/6/26 10:35:22.00,SUPERVISOR,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
SYSTEM,Request Payment,2018/6/28 11:10:29.00,UNDEFINED,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
SYSTEM,Payment Handled,2018/7/2 15:31:20.00,UNDEFINED,travel permit number 41815,task 41819,organizational unit 65462,769.7496734,task 427,budget 2113,project 41816,project 503,request for payment 41822,organizational unit 65459,4167.849331,travel permit 41814,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/5 18:59:41.00,EMPLOYEE,travel permit number 424,UNKNOWN,organizational unit 65469,300.4749744,task 427,budget 425,project 426,project 503,request for payment 186037,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/4/18 20:07:38.00,ADMINISTRATION,travel permit number 424,UNKNOWN,organizational unit 65469,300.4749744,task 427,budget 425,project 426,project 503,request for payment 186037,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/4/19 9:08:52.00,BUDGET OWNER,travel permit number 424,UNKNOWN,organizational unit 65469,300.4749744,task 427,budget 425,project 426,project 503,request for payment 186037,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
